collegeName,aliasName,state,city,photo,rank,ACT,aidPercent,acceptance,tuition,gpa,enrollment,SAT,costAfterAid,type,academicCalendar,setting,website
Western Carolina University,,NC,Cullowhee,https://www.usnews.com/dims4/USNEWS/06af8ab/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Ff9%2F7f31b01d442c92bec81322175fbf87%2Fcollege-photo_25151.jpg,#23,20,53,40,8220,3.4,10027,1030,19186,Public,Semester,Rural,http://www.wcu.edu
High Point University,,NC,High Point,https://www.usnews.com/dims4/USNEWS/e0f74db/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F7f%2F374f8547ddd0c889026bc4cb95eab6%2FRobertsNEW.jpg,#1,22,42,77,36268,3.3,4545,1090,38790,Private,Semester,Suburban,http://www.highpoint.edu
Eastern Mennonite University,,VA,Harrisonburg,https://www.usnews.com/dims4/USNEWS/3803dd0/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F96%2Ff50656c7192a27c854e441d3cfe32e%2Fcollege-photo_31214.jpg,#31,21,72,59,38230,3.6,1040,1000,31329,Private,Semester,Suburban,http://www.emu.edu
Albany State University,,GA,Albany,https://www.usnews.com/dims4/USNEWS/9e3a2b7/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F81%2F926f7f5b5f61d8ee58ccbbf1330ac4%2Fcollege-photo_7193.jpg,#96-#122,15,,89,20352,2.8,6001,750,,Public,Semester,City,https://www.asurams.edu/
Nazarene Bible College,,CO,Colorado Springs,,Unranked,,,,,,,,,Private,N/A,N/A,//www.nbc.edu
Berkeley College,,NJ,Woodland Park,,Unranked,,,,26500,,3324,,,Proprietary,Semester,Suburban,https://berkeleycollege.edu/
Sofia University,,CA,Palo Alto,,Unranked,,,,,,13,,,Proprietary,N/A,N/A,hi
Grinnell College,,IA,Grinnell,https://www.usnews.com/dims4/USNEWS/d545eab/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F2b%2F06ee0d7c8563aa8b199425bc3dfd6f%2Fcollege-photo_28447.jpg,#14,30,66,24,54354,,1716,1370,24119,Private,Semester,Rural,http://www.grinnell.edu
Rowan University,,NJ,Glassboro,https://www.usnews.com/dims4/USNEWS/0acc736/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F30%2F452309eaf9fa3da4f84d50255743d1%2FRowan-Biomedical_Eng_Contact_Drug_Delivery_012.jpg,#166,20,34,73,22832,3.5,16120,1005,30195,Public,Semester,Suburban,http://www.rowan.edu
William Jewell College,,MO,Liberty,https://www.usnews.com/dims4/USNEWS/c497297/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F41%2F67%2F325cedab413babf1756187ca6290%2F190827william-jewell-college21.jpg,#9,22,64,46,34450,3.6,803,1030,23031,Private,Semester,Suburban,https://www.jewell.edu
Huston-Tillotson University,Huston Tillotson University,TX,Austin,,#26-#33,14,,47,14346,,1119,810,,Private,Semester,Urban,http://htu.edu/
MacMurray College,,IL,Jacksonville,,#55-#70,18,,60,,,,980,,Private,Semester,Rural,http://www.mac.edu
Catawba College,,NC,Salisbury,https://www.usnews.com/dims4/USNEWS/4b369f8/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F54%2F9597d45d30e78c73b413ad9898ca5b%2Fcollege-photo_4843.jpg,#8,18,64,52,30520,3.6,1325,910,37661,Private,Semester,Suburban,http://www.catawba.edu
Iowa State University,,IA,Ames,https://www.usnews.com/dims4/USNEWS/3fde99a/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fad%2Fe457136a85b0ecb6e658b7f1ccec60%2Fcollege-photo_252.jpg,#121,22,36,91,24508,3.6,29621,1092,29053,Public,Semester,City,http://www.iastate.edu
Soka University of America,,CA,Aliso Viejo,https://www.usnews.com/dims4/USNEWS/2bfebb3/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F56%2Fdf482ea917bc6f1c31deaf1d6c6e78%2Fcollege-photo_13365.jpg,#27,25,84,39,34086,3.7,428,1180,22901,Private,Semester,Suburban,http://www.soka.edu
Dominican College,,NY,Orangeburg,https://www.usnews.com/dims4/USNEWS/dbaf226/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F72%2Fa4f80921cd5a36d08041904d8b770e%2Fcollege-photo_17961.jpg,#129-#170,17,,77,29844,2.9,1450,940,,Private,Semester,Suburban,http://www.dc.edu
Rice University,,TX,Houston,https://www.usnews.com/dims4/USNEWS/e21518f/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fe4%2F61d9cccbee2c7fea77213314cf2440%2Fcollege-photo_5187.jpg,#17,33,39,11,49112,,3992,1450,22276,Private,Semester,Urban,http://www.rice.edu
Central State University,,OH,Wilberforce,,#55-#70,14,,57,8346,2.7,2099,710,,Public,Semester,Rural,http://www.centralstate.edu
California State University--Bakersfield,Cal State Bakersfield California State University Bakersfield,CA,Bakersfield,https://www.usnews.com/dims4/USNEWS/22f3643/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F9e%2Fc05178a8749a77f6e3393cedf9b164%2Fcollege-photo_35892.jpg,#66,15,,100,19500,3.3,9196,880,,Public,Semester,Urban,http://www.csub.edu
University of Nevada--Las Vegas,UNLV University of Nevada Las Vegas,NV,Las Vegas,https://www.usnews.com/dims4/USNEWS/51853c7/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F7d%2F9d97b74f7b835966dad6f584b87900%2Fcollege-photo_13482.jpg,#293-#381,19,,82,22904,3.4,25282,1030,,Public,Semester,Urban,http://www.unlv.edu
Hofstra University,,NY,Hempstead,https://www.usnews.com/dims4/USNEWS/3aaa497/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fef%2Fff104d1c426ffd58845ce5fcda6757%2Fcollege-photo_32913.jpg,#162,24,62,63,47510,3.6,6701,1150,42458,Private,Semester,Suburban,http://www.hofstra.edu
Washington Adventist University,,MD,Takoma Park,https://www.usnews.com/dims4/USNEWS/4d27738/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F1e%2F3372332e9ef9710284b82de1b2d11d%2Fcollege-photo_23318.jpg,#129-#170,14,,52,24800,,960,860,,Private,Semester,Suburban,http://www.wau.edu
Park University,,MO,Parkville,https://www.usnews.com/dims4/USNEWS/5a6fdc8/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F8d%2Fd985ce7145be66a55e92e408a6ceed%2Fcollege-photo_27245.jpg,Unranked,16,,67,12650,3.2,9569,,,Private,Semester,Suburban,http://www.park.edu
Virginia Wesleyan University,,VA,Virginia Beach,https://www.usnews.com/dims4/USNEWS/5883977/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F2c%2F3ec792f5382d57850a915149efdeeb%2F0J8A0034.jpg,#164-#215,21,,70,36660,3.3,1351,980,,Private,Semester,Rural,http://www.mhu.edu
Mount Mary University,,WI,Milwaukee,https://www.usnews.com/dims4/USNEWS/43c91eb/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F13%2F2f93f501c8b00c1889f00c308c4c42%2Fcollege-photo_6739.jpg,#78,16,,62,31160,,726,,,Private's ,Semester,Urban,http://www.mtmary.edu
Denison University,,OH,Granville,https://www.usnews.com/dims4/USNEWS/3565da0/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fa5%2Fcc078eb3e3ab481a1d1da7741a812a%2Fcollege-photo_32848.jpg,#43,28,52,34,53830,,2285,1210,19646,Private,Semester,Suburban,http://www.denison.edu
Pensacola State College,,FL,Pensacola,https://www.usnews.com/dims4/USNEWS/990c8ed/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F66%2Fa3c82caec1f26ed84c4bf5e0580078%2Fcollege-photo_33952.jpg,#26,18,,100,20958,3.1,9773,830,,Public,Semester,City,//www.pensacolastate.edu
Augustana University,,SD,Sioux Falls,https://www.usnews.com/dims4/USNEWS/db869ef/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F40%2F2ebe8380bf7b89a29309335bcd0352%2Fcollege-photo_28637.jpg,#9,23,61,65,33960,3.7,1792,1060,23011,Private,4/1/2004,City,http://www.augie.edu
Dixie State University,,UT,Saint George,,#25,17,,100,15798,3,9928,920,,Public,Semester,City,http://www.dixie.edu
Oklahoma Christian University,,OK,Oklahoma City,https://www.usnews.com/dims4/USNEWS/ca84f07/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fa1%2F60fc95d39e505c5b543563d6301994%2Fcollege-photo_2216.jpg,#34,20,42,65,23950,3.6,1905,1020,33163,Private,Semester,City,http://www.oc.edu/
Hope College,,MI,Holland,https://www.usnews.com/dims4/USNEWS/87ddb65/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F23%2Facc2d1dd83ebe8a9ae6b7b3d9def45%2Fcollege-photo_33109.jpg,#105,23,48,76,35330,3.7,3149,1110,25333,Private,Semester,City,http://www.hope.edu
Fashion Institute of Design & Merchandising,,CA,Los Angeles,https://www.usnews.com/dims4/USNEWS/4ff0140/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fc3%2F8ecdc247fe7ffa4139357bc1a3a4e7%2Fcollege-photo_24032.jpg,Unranked,,,53,31050,,2542,,,Private,Quarter,Urban,http://fidm.edu/
Universidad Central Del Caribe,,PR,Bayamon,,Unranked,,,,,,,,,Private,N/A,N/A,hi
Furman University,,SC,Greenville,https://www.usnews.com/dims4/USNEWS/196a605/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F16%2F251b652d61d777d571dce581e428b5%2Fcollege-photo_36339.jpg,#46,28,45,61,50844,,2754,1230,34659,Private,Semester,Suburban,http://www.furman.edu/
Trinity Bible College and Graduate School,,ND,Ellendale,,Unranked,,,,17006,,,,,Private,Semester,Rural,//www.trinitybiblecollege.edu
Worcester State University,,MA,Worcester,https://www.usnews.com/dims4/USNEWS/7176729/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F01%2Fd4cec971831e394a3b094622e18d49%2Fcollege-photo_7330.jpg,#100,22,,78,16241,3.3,5380,1010,,Public,Semester,City,http://www.worcester.edu
University of Oklahoma,,OK,Norman,https://www.usnews.com/dims4/USNEWS/c3ea327/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F05%2F2dc988b4a19627c434b183045500aa%2Fcollege-photo_13004.jpg,#132,23,14,78,27144,3.6,22152,1140,37829,Public,Semester,City,http://www.ou.edu
Winona State University,,MN,Winona,https://www.usnews.com/dims4/USNEWS/ee045b2/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2F03%2F7824ce0cac8e3f3adf8d98e6a8edb5%2Fcollege-photo_19260.jpg,#66,20,,66,15348,3.3,7228,1000,,Public,Semester,City,http://www.winona.edu
University of Maine--Fort Kent,UMaine--Fort Kent University of Maine Fort Kent,ME,Fort Kent,https://www.usnews.com/dims4/USNEWS/9efeace/17177859217/thumbnail/200x150/quality/85/?url=https%3A%2F%2Fmedia.beam.usnews.com%2Fe8%2F560f4ce5379a4433bf3f31d16fa83d%2Fcollege-photo_31373.jpg,#25,16,,97,12585,3,1794,910,,Public,Semester,Rural,http://www.umfk.edu
Brigham Young University--Idaho,BYU Idaho Brigham Young University Idaho,ID,Rexburg,,#20,20,,95,,,,990,,Private,N/A,N/A,http://www.byui.edu
Nevada State College,,NV,Henderson,,Unranked,,,84,,,,,,Public,Semester,Urban,http://nsc.nevada.edu
Cypress College,,CA,Cypress,,Unranked,,,,,,,,,Public,N/A,N/A,//www.cypresscollege.edu
EDP University of Puerto Rico Inc--San Juan,,PR,San Juan,,Unranked,,,,,,,,,Private,N/A,N/A,//www.greenriver.edu/
